# mypy baseline — generated by scripts/mypy_baseline.py
# Format: <path>|<error-code>|<message>
# Checked by .github/workflows/quality_gates.yml. Refresh with:
#   python scripts/mypy_baseline.py --update
api/builder_router.py|assignment|Incompatible types in assignment (expression has type "bool", variable has type "Column[bool]")
api/builder_router.py|assignment|Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")
api/builder_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Any]", variable has type "Column[Any]")
api/builder_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/builder_router.py|return|Missing return statement
api/business_impact_advanced_router.py|arg-type|Argument "key" to "sort" of "list" has incompatible type "Callable[[dict[str, Any | None]], Any | None]"; expected "Callable[[dict[str, Any | None]], SupportsDunderLT[Any] | SupportsDunderGT[Any]]"
api/business_impact_advanced_router.py|arg-type|Argument 1 to "round" has incompatible type "Any | None"; expected "_SupportsRound2[Any]"
api/business_impact_advanced_router.py|assignment|Incompatible types in assignment (expression has type "BusinessImpactAnalysisDB | None", variable has type "BusinessImpactAnalysisDB")
api/business_impact_advanced_router.py|assignment|Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")
api/business_impact_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Collection[Collection[str]]]", variable has type "Column[Any]")
api/business_impact_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/business_impact_advanced_router.py|call-overload|No overload variant of "Field" matches argument types "EllipsisType", "int", "str"
api/business_impact_advanced_router.py|call-overload|Unexpected keyword argument "min_items" for overloaded function "Field"
api/business_impact_advanced_router.py|misc|Generator has incompatible item type "Any | None"; expected "bool"
api/business_impact_advanced_router.py|name-defined|Name "offset" is not defined
api/business_impact_advanced_router.py|operator|Unsupported operand types for <= ("float" and "None")
api/business_impact_advanced_router.py|return-value|Incompatible return value type (got "Any | None", expected "SupportsDunderLT[Any] | SupportsDunderGT[Any]")
api/business_impact_advanced_router.py|type-var|Value of type variable "SupportsRichComparisonT" of "max" cannot be "Any | None"
api/business_impact_advanced_router.py|type-var|Value of type variable "SupportsRichComparisonT" of "min" cannot be "Any | None"
api/capacity_advanced_router.py|arg-type|Argument "created_at" to "CapacityPlan" has incompatible type "Column[datetime]"; expected "datetime"
api/capacity_advanced_router.py|arg-type|Argument "created_at" to "OptimizationResult" has incompatible type "Column[datetime]"; expected "datetime"
api/capacity_advanced_router.py|arg-type|Argument "created_at" to "RightsizingRecommendation" has incompatible type "Column[datetime]"; expected "datetime"
api/capacity_advanced_router.py|arg-type|Argument "created_by" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "current_capacity" to "CapacityPlan" has incompatible type "Column[Any]"; expected "float"
api/capacity_advanced_router.py|arg-type|Argument "current_spec" to "RightsizingRecommendation" has incompatible type "Column[Any]"; expected "dict[str, Any]"
api/capacity_advanced_router.py|arg-type|Argument "estimated_cost" to "CapacityPlan" has incompatible type "Column[Any]"; expected "float"
api/capacity_advanced_router.py|arg-type|Argument "estimated_monthly_savings" to "RightsizingRecommendation" has incompatible type "Column[Any]"; expected "float"
api/capacity_advanced_router.py|arg-type|Argument "id" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "id" to "OptimizationResult" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "id" to "RightsizingRecommendation" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "implementation_complexity" to "RightsizingRecommendation" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "implementation_steps" to "OptimizationResult" has incompatible type "Column[Any]"; expected "list[str]"
api/capacity_advanced_router.py|arg-type|Argument "metadata" to "CapacityPlan" has incompatible type "Column[Any]"; expected "dict[str, Any] | None"
api/capacity_advanced_router.py|arg-type|Argument "name" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "performance_impact" to "RightsizingRecommendation" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "projected_capacity" to "CapacityPlan" has incompatible type "Column[Any]"; expected "float"
api/capacity_advanced_router.py|arg-type|Argument "reason" to "RightsizingRecommendation" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "recommended_action" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "recommended_spec" to "RightsizingRecommendation" has incompatible type "Column[Any]"; expected "dict[str, Any]"
api/capacity_advanced_router.py|arg-type|Argument "service" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "service" to "OptimizationResult" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "service" to "RightsizingRecommendation" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "status" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|arg-type|Argument "target_date" to "CapacityPlan" has incompatible type "Column[datetime]"; expected "datetime"
api/capacity_advanced_router.py|arg-type|Argument "threshold" to "CapacityPlan" has incompatible type "Column[Any]"; expected "float"
api/capacity_advanced_router.py|arg-type|Argument "unit" to "CapacityPlan" has incompatible type "Column[str]"; expected "str"
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "datetime", variable has type "Column[datetime]")
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "dict[str, Any] | None", variable has type "Column[Any]")
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "float", variable has type "Column[Any]")
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[Any]", variable has type "Column[Any]")
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "list[str]", variable has type "Column[Any]")
api/capacity_advanced_router.py|assignment|Incompatible types in assignment (expression has type "str", variable has type "Column[str]")
api/capacity_advanced_router.py|attr-defined|"Column[Any]" has no attribute "__iter__"; maybe "__str__"? (not iterable)
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "created_by"; maybe "created_at"?
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "current_usage"
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "metadata"
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "optimized_usage"; maybe "optimized_cost"?
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "resource_types"
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "savings"
api/capacity_advanced_router.py|attr-defined|"OptimizationResult" has no attribute "status"
api/capacity_advanced_router.py|call-arg|Unexpected keyword argument "created_by" for "OptimizationResult"; did you mean "created_at"?
api/capacity_advanced_router.py|call-arg|Unexpected keyword argument "current_usage" for "OptimizationResult"
api/capacity_advanced_router.py|call-arg|Unexpected keyword argument "id" for "CapacityForecast"
api/capacity_advanced_router.py|call-arg|Unexpected keyword argument "metadata" for "OptimizationResult"
